Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
24.0,0,Travel_Rarely,1371,Sales,10,4,Marketing,507,4.0,Female,77,3,2,Sales Executive,3.0,Divorced,750000.0,5915,1,Yes,12,3,4,1,5,2.0,4.0,5.0,2,0,3
30.0,0,Travel_Rarely,202,Sales,2,1,Technical Degree,508,3.0,Male,72,3,1,Sales Representative,2.0,Married,2476.0,17434,1,No,18,3,1,1,1,3.0,3.0,1.0,0,0,0
26.0,1,Travel_Frequently,575,Research & Development,3,1,Technical Degree,510,3.0,Male,73,3,1,Research Scientist,1.0,Single,3102.0,6582,0,No,22,4,3,0,7,2.0,3.0,5.0,4,0,4
22.0,0,Travel_Rarely,253,Research & Development,11,3,Medical,511,1.0,Female,43,3,1,Research Scientist,2.0,Married,2244.0,24440,1,No,13,3,4,1,2,1.0,3.0,100.0,1,1,2
36.0,0,Travel_Rarely,164,Sales,2,2,Medical,513,2.0,Male,61,2,3,Sales Executive,3.0,Married,4960.0,3809,1,No,13,3,2,2,10,2.0,3.0,10.0,9,9,0
30.0,1,Travel_Frequently,464,Research & Development,4,3,Technical Degree,514,3.0,Male,40,3,1,Research Scientist,4.0,Complicated,4960.0,3427,9,Yes,23,4,3,0,3,4.0,3.0,1.0,0,0,0
37.0,0,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,515,4.0,Female,95,3,1,Laboratory Technician,1.0,Divorced,3034.0,26914,1,No,12,3,3,1,18,2.0,3.0,18.0,7,12,17
40.0,0,Travel_Rarely,759,Sales,2,2,Marketing,516,4.0,Female,46,3,2,Sales Executive,2.0,Divorced,5715.0,22553,7,No,12,3,3,2,8,5.0,3.0,5.0,4,1,3
42.0,0,Travel_Rarely,201,Research & Development,1,4,Life Sciences,517,2.0,Female,95,3,1,Laboratory Technician,1.0,Divorced,4960.0,20490,3,No,16,3,2,1,8,5.0,3.0,5.0,2,1,2
37.0,0,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,518,3.0,Male,49,3,2,Manufacturing Director,2.0,Other,4197.0,21123,2,Yes,12,3,4,0,18,2.0,2.0,1.0,0,0,1
36.0,0,Travel_Rarely,982,Research & Development,12,3,Life Sciences,520,1.0,Male,59,2,4,Research Director,2.0,Divorced,14336.0,4345,1,No,11,3,3,1,25,3.0,3.0,25.0,10,3,9
40.0,0,Travel_Rarely,555,Research & Development,2,3,Medical,521,2.0,Female,78,2,2,Laboratory Technician,3.0,Married,3448.0,13436,6,No,22,4,2,1,20,3.0,3.0,1.0,0,0,0
54.0,0,Travel_Rarely,821,Research & Development,5,2,Medical,522,1.0,Male,86,3,5,Research Director,1.0,Married,19406.0,8509,4,No,11,3,3,1,24,4.0,2.0,4.0,2,1,2
34.0,0,Non-Travel,1381,Sales,4,4,Marketing,523,3.0,Female,72,3,2,Sales Executive,3.0,Married,6538.0,12740,9,No,15,3,1,1,6,3.0,3.0,5.0,2,1,2
31.0,0,Travel_Rarely,480,Research & Development,7,2,Medical,524,2.0,Female,31,3,2,Manufacturing Director,1.0,Married,4306.0,4156,1,No,12,3,2,1,13,5.0,1.0,13.0,10,3,12
43.0,0,Travel_Frequently,313,Research & Development,21,3,Medical,525,4.0,Male,61,3,1,Laboratory Technician,4.0,Married,2258.0,15238,7,No,20,4,1,1,8,1.0,3.0,3.0,2,1,2
43.0,0,Travel_Rarely,1473,Research & Development,8,4,Other,526,3.0,Female,74,3,2,Healthcare Representative,3.0,Divorced,4522.0,2227,4,Yes,14,3,4,0,8,3.0,3.0,5.0,2,0,2
25.0,0,Travel_Rarely,891,Sales,4,2,Life Sciences,527,2.0,Female,99,2,2,Sales Executive,4.0,Single,4487.0,12090,1,Yes,11,3,2,0,5,3.0,3.0,5.0,4,1,3
37.0,0,Non-Travel,1063,Research & Development,25,5,Medical,529,2.0,Female,72,3,2,Research Scientist,3.0,Married,4449.0,23866,3,Yes,15,3,1,2,15,2.0,3.0,75.0,11,10,7
31.0,0,Travel_Rarely,329,Research & Development,1,2,Life Sciences,530,4.0,Male,98,2,1,Laboratory Technician,1.0,Married,2218.0,16193,1,No,12,3,3,1,4,3.0,3.0,4.0,2,3,2
39.0,0,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,531,2.0,Male,52,3,5,Manager,3.0,Divorced,19197.0,8213,1,Yes,14,3,3,1,21,3.0,3.0,21.0,8,1,6
56.0,0,Travel_Frequently,906,Sales,6,3,Life Sciences,532,3.0,Female,86,4,4,Sales Executive,1.0,Married,-5000.0,18256,9,No,11,3,4,3,36,0.0,2.0,7.0,7,7,7
30.0,0,Travel_Rarely,1082,Sales,12,3,Technical Degree,533,2.0,Female,83,3,2,Sales Executive,3.0,Single,6577.0,19558,0,No,11,3,2,0,6,6.0,3.0,5.0,4,4,4
41.0,0,Travel_Rarely,645,Sales,1,3,Marketing,534,2.0,Male,49,4,3,Sales Executive,1.0,Married,8392.0,19566,1,No,16,3,3,1,10,2.0,3.0,10.0,7,0,7
28.0,0,Travel_Rarely,1300,Research & Development,17,2,Medical,536,3.0,Male,79,3,2,Laboratory Technician,1.0,Divorced,4558.0,13535,1,No,12,3,4,1,10,2.0,3.0,5.0,0,1,8
25.0,1,Travel_Rarely,688,Research & Development,-20,3,Medical,538,1.0,Male,91,3,1,Laboratory Technician,1.0,Married,4031.0,9396,5,No,13,3,3,1,6,5.0,3.0,2.0,2,0,2
52.0,0,Travel_Rarely,319,Research & Development,3,3,Medical,543,4.0,Male,39,2,3,Manufacturing Director,3.0,Married,7969.0,19609,2,Yes,14,3,3,0,28,4.0,3.0,5.0,4,0,4
45.0,0,Travel_Rarely,192,Research & Development,10,2,Life Sciences,544,3.0,Male,69,3,1,Research Scientist,4.0,Married,2654.0,9655,3,No,21,4,4,2,8,3.0,2.0,2.0,2,0,2
52.0,0,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,546,4.0,Female,30,3,4,Manager,4.0,Married,16555.0,10310,2,No,13,3,4,0,31,2.0,1.0,5.0,2,1,4
42.0,0,Travel_Frequently,532,Research & Development,29,2,Life Sciences,547,1.0,Female,92,3,2,Research Scientist,3.0,Divorced,4556.0,12932,2,No,11,3,2,1,19,3.0,3.0,5.0,4,0,2
30.0,0,Travel_Rarely,317,Research & Development,2,3,Life Sciences,548,3.0,Female,43,1,2,Manufacturing Director,4.0,Single,6091.0,24793,2,No,20,4,3,0,11,2.0,3.0,5.0,4,0,2
60.0,0,Travel_Rarely,422,Research & Development,7,3,Life Sciences,549,1.0,Female,41,3,5,Manager,1.0,Married,19566.0,3854,5,No,11,3,4,0,33,5.0,1.0,29.0,8,11,10
46.0,0,Travel_Rarely,1485,Research & Development,18,3,Medical,550,3.0,Female,87,3,2,Manufacturing Director,3.0,Divorced,4810.0,26314,2,No,14,3,3,1,19,5.0,2.0,10.0,7,0,8
42.0,0,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,551,4.0,Female,88,2,2,Healthcare Representative,4.0,Married,4523.0,4386,0,No,11,3,4,3,7,4.0,4.0,6.0,5,0,4
24.0,1,Travel_Rarely,1448,Sales,1,1,Technical Degree,554,1.0,Female,62,3,1,Sales Representative,2.0,Single,3202.0,21972,1,Yes,16,3,2,0,6,4.0,3.0,5.0,3,1,4
34.0,1,Travel_Frequently,296,Sales,6,2,Marketing,555,4.0,Female,33,1,1,Sales Representative,3.0,Divorced,2351.0,12253,0,No,16,3,4,1,3,3.0,2.0,2.0,2,1,0
38.0,0,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,556,4.0,Male,42,3,1,laboratory technician,4.0,Married,1702.0,12106,1,Yes,23,4,3,1,1,3.0,3.0,1.0,0,0,0
40.0,0,Travel_Rarely,1398,Sales,2,4,Life Sciences,558,3.0,Female,79,3,5,Manager,3.0,Married,500000.0,13022,0,No,14,3,4,0,21,2.0,3.0,20.0,15,1,12
26.0,0,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,560,1.0,Female,90,3,1,Research Scientist,4.0,Divorced,2886.0,3032,1,No,22,4,2,2,3,3.0,1.0,3.0,2,0,2
30.0,0,Non-Travel,1400,Research & Development,3,3,Life Sciences,562,3.0,Male,53,3,1,Laboratory Technician,3.0,Married,2097.0,16734,4,No,15,3,3,1,9,3.0,1.0,5.0,3,1,4
29.0,0,Travel_Rarely ,986,Research & Development,3,4,Medical,564,2.0,Male,93,2,3,Research Director,3.0,Married,11935.0,21526,1,No,18,3,3,0,10,2.0,3.0,10.0,2,0,7
29.0,1,Travel_Rarely,408,Research & Development,25,5,Technical Degree,565,3.0,Female,71,2,1,Research Scientist,2.0,Married,4960.0,18300,5,No,16,3,2,0,6,2.0,4.0,2.0,2,1,1
19.0,1,Travel_Rarely,489,Human Resources,2,2,Technical Degree,566,3.0,Male,52,2,1,Human Resources,4.0,Single,2564.0,18437,1,No,12,3,3,0,1,3.0,4.0,1.0,0,0,0
30.0,0,Non-Travel,1398,Sales,22,4,Other,567,3.0,Female,69,3,3,Sales Executive,1.0,Married,8412.0,2890,0,No,11,3,3,0,10,3.0,3.0,9.0,8,7,8
57.0,0,Travel_Rarely,210,Sales,29,3,Marketing,568,3.0,Male,56,2,4,Manager,4.0,Divorced,14118.0,22102,3,No,12,3,3,1,32,3.0,2.0,1.0,0,0,0
50.0,0,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,569,2.0,Male,88,2,4,Manager,3.0,Married,17046.0,9314,0,No,15,3,2,1,28,2.0,3.0,27.0,10,15,7
120.0,0,Non-Travel,1116,Research & Development,2,3,Medical,571,3.0,Female,49,3,1,Laboratory Technician,4.0,Single,2564.0,7181,0,No,14,3,3,0,12,2.0,2.0,11.0,7,6,7
60.0,0,Travel_Frequently,1499,Sales,28,3,Marketing,573,3.0,Female,80,2,3,Sales Executive,1.0,Married,10266.0,2845,4,No,19,3,4,0,22,5.0,4.0,18.0,13,13,11
36.0,0,Travel_Rarely,983,Research & Development,2,2,Medical,574,1.0,Female,65,3,2,Manufacturing Director,4.0,Divorced,5070.0,7389,5,No,13,3,3,3,20,2.0,3.0,5.0,0,0,4
46.0,0,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,575,3.0,Male,51,3,4,Research Director,3.0,Married,4960.0,2288,6,No,13,3,3,0,26,2.0,1.0,3.0,2,0,1
35.0,0,Travel_Rarely,144,Research & Development,22,3,Life Sciences,577,3.0,Male,46,1,1,Laboratory Technician,3.0,Single,4230.0,19225,0,No,15,3,3,0,6,2.0,3.0,5.0,4,4,3
54.0,0,Travel_Rarely,548,Research & Development,8,4,Life Sciences,578,3.0,Female,42,3,2,Laboratory Technician,3.0,Single,4960.0,23428,7,No,11,3,3,0,19,3.0,3.0,1.0,0,0,0
34.0,0,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,579,4.0,Male,62,2,1,Research Scientist,3.0,Divorced,2768.0,8416,3,No,12,3,3,1,14,3.0,3.0,7.0,3,5,7
46.0,0,Travel_Rarely,1125,Sales,10,3,Marketing,580,3.0,Female,94,2,3,Sales Executive,4.0,Married,9071.0,11563,2,Yes,19,3,3,1,15,3.0,3.0,3.0,2,1,2
31.0,0,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,581,3.0,Male,33,3,3,Manufacturing Director,2.0,Divorced,10648.0,14394,1,No,25,4,4,1,13,6.0,4.0,13.0,8,0,8
33.0,1,Travel_Rarely,1277,Research & Development,15,1,Medical,582,3.0,Male,56,3,3,Manager,3.0,Married,13610.0,24619,7,Yes,12,3,4,0,15,2.0,4.0,7.0,6,7,7
33.0,1,Travel_Rarely,587,Research & Development,10,1,Medical,584,1.0,Male,38,1,1,Laboratory Technician,4.0,Divorced,250000.0,6705,7,No,13,3,1,3,8,2.0,3.0,4.0,3,1,3
30.0,0,Travel_Rarely,413,Sales,7,1,Marketing,585,4.0,Male,57,3,1,Sales Representative,2.0,Single,4960.0,18398,0,No,14,3,1,0,4,3.0,3.0,3.0,2,1,2
35.0,0,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,586,4.0,Male,72,3,3,Healthcare Representative,3.0,Married,7632.0,14295,4,Yes,12,3,3,0,10,2.0,3.0,8.0,7,0,0
31.0,1,Travel_Frequently,534,Research & Development,20,3,Life Sciences,587,1.0,Male,66,3,3,Healthcare Representative,3.0,Married,9824.0,22908,3,No,12,3,1,0,12,3.0,3.0,1.0,0,0,0
36.0,1,Travel_Frequently,988,Human Resources,23,3,Human Resources,590,2.0,Female,43,3,3,Human Resources,1.0,Divorced,9950.0,11533,9,Yes,15,3,3,3,11,2.0,3.0,3.0,2,0,2
42.0,0,Travel_Frequently,1474,Research & Development,5,2,Other,591,2.0,Male,97,3,1,Laboratory Technician,3.0,Married,2093.0,9260,4,No,17,3,4,1,8,4.0,3.0,2.0,2,2,0
36.0,0,Non-Travel,635,Sales,10,4,Medical,592,2.0,Male,32,3,3,Sales Executive,4.0,Single,9980.0,15318,1,No,14,3,4,0,10,3.0,2.0,10.0,3,9,7
22.0,1,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,593,3.0,Male,99,2,1,Laboratory Technician,3.0,Single,3894.0,9129,5,No,16,3,3,0,4,3.0,3.0,2.0,2,1,2
48.0,0,Travel_Rarely,163,Sales,2,5,Marketing,595,2.0,Female,37,3,2,Sales Executive,4.0,Married,4960.0,19658,2,No,14,3,1,1,14,2.0,3.0,9.0,7,6,7
55.0,0,Travel_Rarely,1117,Sales,18,5,Life Sciences,597,1.0,Female,83,3,4,Manager,2.0,Single,16835.0,9873,3,No,23,4,4,0,37,2.0,3.0,10.0,9,7,7
41.0,0,Non-Travel,267,Sales,10,2,Life Sciences,599,4.0,Male,56,3,2,Sales Executive,4.0,Single,6230.0,13430,7,No,14,3,4,0,16,3.0,3.0,14.0,3,1,10
35.0,0,Travel_Rarely,619,Sales,1,3,Marketing,600,2.0,Male,85,3,2,Sales Executive,3.0,Complicated,4717.0,18659,9,No,11,3,3,0,15,2.0,3.0,11.0,9,6,9
40.0,0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,601,2.0,Female,75,3,4,Manufacturing Director,3.0,Single,13237.0,20364,7,No,15,3,3,0,22,3.0,3.0,20.0,6,5,13
39.0,0,Travel_Frequently,443,Research & Development,8,1,Life Sciences,602,3.0,Unknown,48,3,1,Laboratory Technician,3.0,Married,3755.0,17872,1,No,11,3,1,1,8,3.0,3.0,8.0,3,0,7
31.0,0,Travel_Rarely,828,Sales,2,1,Life Sciences,604,2.0,Male,77,3,2,Sales Executive,4.0,Single,6582.0,8346,4,Yes,13,3,3,0,10,2.0,3.0,6.0,5,0,5
42.0,0,Travel_Rarely,319,Research & Development,24,3,Medical,605,4.0,Male,56,3,3,Manufacturing Director,1.0,Married,7406.0,6950,1,Yes,21,4,4,1,10,5.0,3.0,10.0,9,5,8
45.0,0,Travel_Rarely,561,Sales,2,3,Other,606,4.0,Male,61,3,2,Sales Executive,2.0,Married,4805.0,16177,0,No,19,3,2,1,9,3.0,4.0,8.0,7,3,7
26.0,1,Travel_Frequently,426,Human Resources,17,4,Life Sciences,608,2.0,Female,58,3,1,Human Resources,3.0,Divorced,2741.0,22808,0,Yes,11,3,2,1,8,2.0,2.0,7.0,7,1,0
29.0,0,Travel_Rarely,232,Research & Development,19,3,Technical Degree,611,4.0,Male,34,3,2,Manufacturing Director,4.0,Divorced,4262.0,22645,4,No,12,3,2,2,8,2.0,4.0,3.0,2,1,2
33.0,0,Travel_Rarely,922,Research & Development,1,5,Medical,612,3.0,Female,95,4,4,Research Director,3.0,Divorced,16184.0,22578,4,No,19,3,3,1,10,3.0,3.0,5.0,1,0,5
31.0,0,Travel_Rarely,688,Sales,7,3,Life Sciences,613,3.0,Male,44,2,3,Manager,4.0,Divorced,11557.0,25291,9,No,21,4,3,1,10,3.0,3.0,5.0,4,0,1
36.0,1,Travel_Frequently,1306,Sales,5,3,Marketing,614,2.0,Male,69,3,1,Sales Representative,2.0,Single,1878.0,8059,1,Yes,14,3,4,0,0,3.0,3.0,0.0,0,0,0
40.0,0,Non-Travel,1094,Sales,28,3,Other,615,3.0,Male,58,1,3,Sales Executive,1.0,Divorced,10932.0,11373,3,No,15,3,3,1,20,2.0,3.0,1.0,0,0,1
36.0,0,Non-Travel,509,Research & Development,2,4,Other,616,1.0,Female,62,2,2,Healthcare Representative,3.0,Single,6811.0,2112,2,Yes,17,3,1,0,10,3.0,3.0,8.0,7,0,7
26.0,0,Travel_Rarely,775,Sales,29,2,Medical,618,1.0,Male,45,3,2,Sales Executive,3.0,Divorced,4306.0,4267,5,No,12,3,1,2,8,5.0,3.0,0.0,0,0,0
35.0,0,Travel_Rarely,195,Sales,1,3,Medical,620,1.0,Female,80,3,2,Sales Executive,3.0,Single,4859.0,6698,1,No,16,3,4,0,5,3.0,3.0,5.0,4,0,3
34.0,0,Travel_Rarely,258,Sales,21,4,Life Sciences,621,4.0,Male,74,4,2,Sales Executive,4.0,Single,5337.0,19921,1,No,12,3,4,0,10,3.0,3.0,10.0,7,5,7
26.0,1,Travel_Rarely,471,Research & Development,24,3,Technical Degree,622,3.0,Male,66,1,1,Laboratory Technician,4.0,Single,2340.0,23213,1,Yes,18,3,2,0,1,3.0,1.0,1.0,0,0,0
37.0,0,Travel_Rarely,799,Research & Development,1,3,Technical Degree,623,2.0,Female,59,3,3,Manufacturing Director,3.0,Single,7491.0,23848,4,No,17,3,4,0,12,3.0,4.0,6.0,5,1,2
46.0,0,Travel_Frequently,1034,Research & Development,18,1,Medical,624,1.0,Female,86,3,3,Healthcare Representative,3.0,Married,10527.0,8984,5,No,11,3,4,0,28,3.0,2.0,2.0,2,1,2
41.0,0,Travel_Rarely,1276,Sales,2,5,Life Sciences,625,2.0,Female,91,3,4,Manager,1.0,Married,16595.0,5626,7,No,16,3,2,1,22,2.0,3.0,18.0,16,11,8
37.0,0,Non-Travel,142,Sales,9,4,Medical,626,1.0,Male,69,3,3,Sales Executive,2.0,Divorced,8834.0,24666,1,No,13,3,4,1,9,6.0,3.0,9.0,5,7,7
52.0,0,Travel_Rarely,956,Research & Development,6,2,Technical Degree,630,4.0,Male,78,3,2,Research Scientist,1.0,Divorced,5577.0,22087,3,Yes,12,3,2,2,18,3.0,3.0,10.0,9,6,9
32.0,1,Non-Travel,1474,Sales,11,4,Other,631,4.0,Male,60,4,2,Sales Executive,3.0,Married,4707.0,23914,8,No,12,3,4,0,6,2.0,3.0,4.0,2,1,2
24.0,0,Travel_Frequently,535,Sales,24,3,Medical,632,3.0,Male,38,3,1,Sales Representative,4.0,Married,2400.0,5530,0,No,13,3,3,2,3,3.0,3.0,2.0,2,2,1
38.0,0,Travel_Rarely,1495,Research & Development,10,3,Medical,634,3.0,Female,76,3,2,Healthcare Representative,3.0,Married,9824.0,22174,3,No,19,3,3,1,18,4.0,3.0,1.0,0,0,0
37.0,0,Travel_Rarely,446,Research & Development,1,4,Life Sciences,635,2.0,Female,65,3,2,Manufacturing Director,2.0,Married,4960.0,15701,6,No,12,3,2,1,8,2.0,2.0,6.0,5,4,3
49.0,0,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,638,4.0,Male,58,2,5,Research Director,3.0,Divorced,19502.0,2125,1,Yes,17,3,3,1,31,5.0,3.0,31.0,9,0,9
24.0,0,Travel_Rarely,691,Research & Development,23,3,Medical,639,2.0,Male,89,4,1,research scientist,4.0,Married,2725.0,21630,1,Yes,11,3,2,2,6,3.0,3.0,6.0,5,1,4
26.0,0,Travel_Rarely ,703,Sales,28,2,Marketing,641,1.0,Male,66,3,2,Sales Executive,2.0,Married,6272.0,7428,1,No,20,4,4,2,6,5.0,4.0,5.0,3,1,4
36.0,0,Travel_Rarely,823,Research & Development,17,2,Other,643,4.0,Male,94,2,1,Laboratory Technician,2.0,Married,2127.0,9100,1,No,21,4,4,1,1,2.0,3.0,1.0,0,0,0
50.0,0,Travel_Frequently,1246,Human Resources,3,3,Medical,644,3.0,Male,99,3,5,Manager,2.0,Married,18200.0,7999,1,No,11,3,3,1,32,2.0,3.0,32.0,5,10,7
25.0,0,Travel_Rarely,622,Sales,13,1,Medical,645,2.0,Male,40,3,1,Sales Representative,3.0,Complicated,2096.0,26376,1,No,11,3,3,0,7,1.0,3.0,7.0,4,0,6
24.0,1,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,647,1.0,Female,55,3,1,Laboratory Technician,3.0,Married,2886.0,14168,1,Yes,16,3,4,1,6,4.0,3.0,6.0,3,1,2
30.0,1,Travel_Frequently,448,Sales,12,4,Life Sciences,648,2.0,Male,74,2,1,Sales Representative,1.0,Married,2033.0,14470,1,No,18,3,3,1,1,2.0,3.0,5.0,0,0,0
34.0,0,Travel_Rarely,254,Research & Development,1,2,Life Sciences,649,2.0,Male,83,2,1,Research Scientist,4.0,Married,3622.0,22794,1,Yes,13,3,4,1,6,3.0,3.0,5.0,5,1,3
99.0,1,Travel_Rarely,1365,Sales,13,4,Medical,650,2.0,Male,46,3,2,Sales Executive,1.0,Divorced,4233.0,11512,2,No,17,3,3,0,9,2.0,1.0,3.0,1,1,2
35.0,0,Travel_Rarely,538,Research & Development,25,2,Other,652,3.0,Male,54,2,2,Laboratory Technician,4.0,Single,3681.0,14004,4,No,14,3,4,0,9,3.0,3.0,3.0,2,0,2
31.0,0,Travel_Rarely ,525,Sales,6,4,Medical,653,1.0,Male,66,4,2,Sales Executive,4.0,Divorced,5460.0,6219,4,No,22,4,4,2,13,4.0,4.0,7.0,7,5,7
27.0,0,Travel_Rarely,798,Research & Development,6,4,Medical,655,1.0,Female,66,2,1,Research Scientist,3.0,Divorced,2187.0,5013,0,No,12,3,3,2,6,5.0,2.0,5.0,3,0,3
37.0,0,Travel_Rarely,558,Sales,2,3,Marketing,656,4.0,Male,75,3,2,Sales Executive,3.0,Married,9602.0,3010,4,Yes,11,3,3,1,17,3.0,2.0,3.0,0,1,0
20.0,0,Travel_Rarely,959,Research & Development,1,3,Life Sciences,657,4.0,Female,83,2,1,Research Scientist,2.0,Single,2836.0,11757,1,No,13,3,4,0,1,0.0,4.0,1.0,0,0,0
42.0,0,Travel_Rarely,622,Research & Development,2,4,Life Sciences,659,3.0,Female,81,3,2,Healthcare Representative,4.0,Married,4089.0,5718,1,No,13,3,2,2,10,4.0,3.0,10.0,2,2,2
43.0,0,Travel_Rarely,782,Research & Development,6,4,Other,661,2.0,Male,50,2,4,Research Director,4.0,Divorced,16627.0,2671,4,Yes,14,3,3,1,21,3.0,2.0,1.0,0,0,0
38.0,0,Travel_Rarely,362,Research & Development,1,1,Life Sciences,662,3.0,Female,43,3,1,Research Scientist,1.0,Single,2619.0,14561,3,No,17,3,4,0,8,3.0,2.0,0.0,0,0,0
43.0,0,Travel_Frequently,1001,Research & Development,9,5,Medical,663,4.0,Male,72,3,2,Laboratory Technician,3.0,Divorced,5679.0,19627,3,Yes,13,3,2,1,10,3.0,3.0,8.0,7,4,7
48.0,0,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,664,4.0,Female,40,2,4,Manager,1.0,Married,15402.0,17997,7,No,11,3,1,1,21,3.0,1.0,3.0,2,0,2
44.0,0,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,665,1.0,Female,50,2,2,Human Resources,3.0,Single,5985.0,26894,4,No,11,3,2,0,10,1.0,4.0,2.0,2,0,2
34.0,0,Travel_Rarely,204,Sales,14,3,Technical Degree,666,3.0,Female,31,3,1,Sales Representative,3.0,Divorced,2579.0,2912,1,Yes,18,3,4,2,8,3.0,3.0,8.0,2,0,6
27.0,1,Travel_Rarely,1420,Sales,2,1,Marketing,667,3.0,Male,85,3,1,Sales Representative,1.0,Divorced,3041.0,16346,0,No,11,3,2,1,5,3.0,3.0,4.0,3,0,2
21.0,0,Travel_Rarely,1343,Sales,22,1,Technical Degree,669,3.0,Male,49,3,1,Sales Representative,3.0,Single,3447.0,24444,1,No,11,3,3,0,3,2.0,3.0,3.0,2,1,2
44.0,0,Travel_Rarely,1315,Research & Development,3,4,Other,671,4.0,Male,35,3,5,Manager,4.0,Married,19513.0,9358,4,Yes,12,3,1,1,26,2.0,4.0,2.0,2,0,1
22.0,0,Travel_Rarely,604,Research & Development,6,1,Medical,675,1.0,Male,69,3,1,Research Scientist,3.0,Married,2773.0,12145,0,No,20,4,4,0,3,3.0,3.0,5.0,2,2,2
33.0,0,Travel_Rarely,1216,Sales,8,4,Marketing,677,3.0,Male,39,3,2,Sales Executive,3.0,Divorced,7104.0,20431,0,No,12,3,4,0,6,3.0,3.0,5.0,0,1,2
32.0,0, Travel_Rarely,646,Research & Development,9,4,Life Sciences,679,1.0,Female,92,3,2,Research Scientist,4.0,Married,6322.0,18089,1,Yes,12,3,4,1,6,2.0,2.0,6.0,4,0,5
30.0,0,Travel_Frequently,160,Research & Development,3,3,Medical,680,3.0,Female,71,3,1,Research Scientist,3.0,Divorced,2083.0,22653,1,No,20,4,3,1,1,2.0,3.0,1.0,0,0,0
53.0,0,Travel_Rarely,238,Sales,1,1,Medical,682,4.0,Female,34,3,2,Sales Executive,1.0,Single,8381.0,7507,7,No,20,4,4,0,18,2.0,4.0,14.0,7,8,10
34.0,0,Travel_Rarely,1397,Research & Development,1,5,Life Sciences,683,2.0,Male,42,3,1,Research Scientist,4.0,Married,2691.0,7660,1,No,12,3,4,1,10,4.0,2.0,10.0,9,8,8
45.0,1,Travel_Frequently ,306,SALES,26,4,Life Sciences,684,1.0,Female,100,3,2,Sales Executive,3.0,Married,4286.0,5630,2,No,14,3,4,2,5,4.0,3.0,1.0,1,0,0
26.0,0,Travel_Rarely,991,Research & Development,6,3,Life Sciences,686,3.0,Female,71,3,1,Laboratory Technician,4.0,Married,2659.0,17759,1,Yes,13,3,3,1,3,2.0,3.0,3.0,2,0,2
37.0,0,Travel_Rarely,482,Research & Development,3,3,Other,689,3.0,Male,36,3,3,Manufacturing Director,3.0,Married,9434.0,9606,1,No,15,3,3,1,10,3.0,3.0,10.0,7,7,8
29.0,0,Travel_Rarely,1176,Sales,3,2,Medical,690,2.0,Female,62,3,2,Sales Executive,3.0,Married,5561.0,3487,1,No,14,3,1,1,6,5.0,2.0,5.0,0,1,2
35.0,0,Travel_Rarely,1017,Research & Development,6,4,Life Sciences,691,2.0,Male,82,1,2,Research Scientist,4.0,Single,6646.0,19368,1,No,13,3,2,0,17,3.0,3.0,17.0,11,11,8
33.0,0,Travel_Frequently,1296,Research & Development,6,3,Life Sciences,692,3.0,Male,30,3,2,Healthcare Representative,4.0,Divorced,7725.0,5335,3,No,23,4,3,1,15,2.0,1.0,13.0,11,4,7
54.0,0,Travel_Rarely,397,Human Resources,19,4,Medical,698,3.0,Male,88,3,3,Human Resources,2.0,Married,10725.0,6729,2,No,15,3,3,1,16,1.0,4.0,9.0,7,7,1
36.0,0,Travel_Rarely,913,Research & Development,9,2,Medical,699,2.0,Male,48,2,2,Manufacturing Director,2.0,Divorced,8847.0,13934,2,Yes,11,3,3,1,13,2.0,3.0,3.0,2,0,2
27.0,0,Travel_Rarely,1115,Research & Development,3,4,Medical,700,1.0,Male,54,2,1,Research Scientist,4.0,Single,4960.0,15174,0,No,13,3,4,0,5,0.0,3.0,4.0,2,1,1
20.0,1,Travel_Rarely,1362,Research & Development,10,1,Medical,701,4.0,Male,32,3,1,Research Scientist,3.0,Single,1009.0,26999,1,Yes,11,3,4,0,1,5.0,3.0,1.0,0,1,1
